# This file produced by program: "write_detector_layout.pro"
title,Maia 384 Si array
N,     384,Number of detectors
Start,       0,Start at this # (default: detector numbers start at 0)
Shape,       1,Shape of detectors (0=circular, 1=square)
Symmetry,       4,Detector array symmetry steps for 360 degree (default is 4)
Reorient,       0,Re-orient or rotate by "reorient*360/symmetry" degrees
MirrorX,       0,Mirror the layout in X
MirrorY,       0,Mirror the layout in Y
Veto,       0,Veto channels with excessive FWHM
Threshold,      250.000,FWHM threshold (eV)
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
 332,  -4.379,   4.379,   0.000,   0.724,   0.724,   0.000,  0,   0.000,   10,    3,    4,    5,    5
 333,  -3.405,   4.379,   0.000,   0.759,   0.724,   0.000,  0,   0.000,   10,    3,    4,    6,    5
 334,  -2.430,   4.379,   0.000,   0.794,   0.724,   0.000,  0,   0.000,   10,    3,    3,    7,    5
  93,  -1.456,   4.379,   0.000,   0.829,   0.724,   0.000,  0,   0.000,    2,    0,    3,    8,    5
  85,  -0.481,   4.379,   0.000,   0.864,   0.724,   0.000,  0,   0.000,    2,    0,    2,    9,    5
  77,   0.481,   4.379,   0.000,   0.864,   0.724,   0.000,  0,   0.000,    2,    0,    2,   10,    5
  69,   1.456,   4.379,   0.000,   0.829,   0.724,   0.000,  0,   0.000,    2,    0,    3,   11,    5
  58,   2.430,   4.379,   0.000,   0.794,   0.724,   0.000,  0,   0.000,    1,    0,    3,   12,    5
  51,   3.405,   4.379,   0.000,   0.759,   0.724,   0.000,  0,   0.000,    1,    0,    4,   13,    5
  44,   4.379,   4.379,   0.000,   0.724,   0.724,   0.000,  0,   0.000,    1,    0,    4,   14,    5
  37,   5.354,   4.379,   0.000,   0.689,   0.724,   0.000,  0,   0.000,    1,    0,    5,   15,    5
  26,   6.328,   4.379,   0.000,   0.654,   0.724,   0.000,  0,   0.000,    0,    0,    6,   16,    5
  18,   7.303,   4.379,   0.000,   0.619,   0.724,   0.000,  0,   0.000,    0,    0,    7,   17,    5
  10,   8.277,   4.379,   0.000,   0.583,   0.724,   0.000,  0,   0.000,    0,    0,    7,   18,    5
   2,   9.252,   4.379,   0.000,   0.548,   0.724,   0.000,  0,   0.000,    0,    0,    8,   19,    5
 336,  -9.252,   3.405,   0.000,   0.548,   0.759,   0.000,  0,   0.000,   10,    3,    8,    0,    6
 343,  -8.277,   3.405,   0.000,   0.583,   0.759,   0.000,  0,   0.000,   10,    3,    7,    1,    6
 342,  -7.303,   3.405,   0.000,   0.619,   0.759,   0.000,  0,   0.000,   10,    3,    6,    2,    6
 341,  -6.328,   3.405,   0.000,   0.654,   0.759,   0.000,  0,   0.000,   10,    3,    5,    3,    6
 340,  -5.354,   3.405,   0.000,   0.689,   0.759,   0.000,  0,   0.000,   10,    3,    4,    4,    6
 339,  -4.379,   3.405,   0.000,   0.724,   0.759,   0.000,  0,   0.000,   10,    3,    4,    5,    6
 338,  -3.405,   3.405,   0.000,   0.759,   0.759,   0.000,  0,   0.000,   10,    3,    3,    6,    6
 337,  -2.430,   3.405,   0.000,   0.794,   0.759,   0.000,  0,   0.000,   10,    3,    2,    7,    6
  94,  -1.456,   3.405,   0.000,   0.829,   0.759,   0.000,  0,   0.000,    2,    0,    2,    8,    6
  86,  -0.481,   3.405,   0.000,   0.864,   0.759,   0.000,  0,   0.000,    2,    0,    1,    9,    6
  78,   0.481,   3.405,   0.000,   0.864,   0.759,   0.000,  0,   0.000,    2,    0,    1,   10,    6
  70,   1.456,   3.405,   0.000,   0.829,   0.759,   0.000,  0,   0.000,    2,    0,    2,   11,    6
  57,   2.430,   3.405,   0.000,   0.794,   0.759,   0.000,  0,   0.000,    1,    0,    2,   12,    6
  50,   3.405,   3.405,   0.000,   0.759,   0.759,   0.000,  0,   0.000,    1,    0,    3,   13,    6
  45,   4.379,   3.405,   0.000,   0.724,   0.759,   0.000,  0,   0.000,    1,    0,    4,   14,    6
  38,   5.354,   3.405,   0.000,   0.689,   0.759,   0.000,  0,   0.000,    1,    0,    4,   15,    6
