"# This file produced by program: ""write_detector_layout.pro""",,,,,,, ,,,,,,
title,Maia 384 Si array,,,,,,,,,,,,
N,384,Number of detectors,,,,,,,,,,,
Start,0,Start at this # (default: detector numbers start at 0),,,,,,,,,,,
Shape,1,Shape of detectors (0=circular, 1=square),,,,,,,,,,
Symmetry,4,Detector array symmetry steps for 360 degree (default is 4),,,,,,,,,,,
Reorient,0,"Re-orient or rotate by ""reorient*360/symmetry"" degrees",,,,,,,,,,,
MirrorX,0,Mirror the layout in X,,,,,,,,,,,
MirrorY,0,Mirror the layout in Y,,,,,,,,,,,
Veto,0,Veto channels with excessive FWHM,,,,,,,,,,,
Threshold,250,FWHM threshold (eV),,,,,,,,,,,
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
209,-7.303,-3.405,0,0.619,0.759,0,0,0,6,2,7,2,13
221,-6.328,-3.405,0,0.654,0.759,0,0,0,6,2,6,3,13
226,-5.354,-3.405,0,0.689,0.759,0,0,0,7,2,5,4,13
237,-4.379,-3.405,0,0.724,0.759,0,0,0,7,2,5,5,13
242,-3.405,-3.405,0,0.759,0.759,0,0,0,7,2,4,6,13
253,-2.43,-3.405,0,0.794,0.759,0,0,0,7,2,3,7,13
258,-1.456,-3.405,0,0.829,0.759,0,0,0,8,2,3,8,13
270,-0.481,-3.405,0,0.864,0.759,0,0,0,8,2,2,9,13
276,0.481,-3.405,0,0.864,0.759,0,0,0,8,2,2,10,13
280,1.456,-3.405,0,0.829,0.759,0,0,0,8,2,3,11,13
145,2.43,-3.405,0,0.794,0.759,0,0,0,4,1,3,12,13
146,3.405,-3.405,0,0.759,0.759,0,0,0,4,1,4,13,13
154,4.379,-3.405,0,0.724,0.759,0,0,0,4,1,5,14,13
147,5.354,-3.405,0,0.689,0.759,0,0,0,4,1,5,15,13
155,6.328,-3.405,0,0.654,0.759,0,0,0,4,1,6,16,13
148,7.303,-3.405,0,0.619,0.759,0,0,0,4,1,7,17,13
156,8.277,-3.405,0,0.583,0.759,0,0,0,4,1,8,18,13
144,9.252,-3.405,0,0.548,0.759,0,0,0,4,1,9,19,13
192,-9.252,-4.379,0,0.548,0.724,0,0,0,6,2,9,0,14
196,-8.277,-4.379,0,0.583,0.724,0,0,0,6,2,8,1,14
210,-7.303,-4.379,0,0.619,0.724,0,0,0,6,2,8,2,14
214,-6.328,-4.379,0,0.654,0.724,0,0,0,6,2,7,3,14
233,-5.354,-4.379,0,0.689,0.724,0,0,0,7,2,6,4,14
229,-4.379,-4.379,0,0.724,0.724,0,0,0,7,2,5,5,14
250,-3.405,-4.379,0,0.759,0.724,0,0,0,7,2,5,6,14
246,-2.43,-4.379,0,0.794,0.724,0,0,0,7,2,4,7,14
265,-1.456,-4.379,0,0.829,0.724,0,0,0,8,2,4,8,14
269,-0.481,-4.379,0,0.864,0.724,0,0,0,8,2,3,9,14
283,0.481,-4.379,0,0.864,0.724,0,0,0,8,2,3,10,14
287,1.456,-4.379,0,0.829,0.724,0,0,0,8,2,4,11,14
142,2.43,-4.379,0,0.794,0.724,0,0,0,4,1,4,12,14
141,3.405,-4.379,0,0.759,0.724,0,0,0,4,1,5,13,14
133,4.379,-4.379,0,0.724,0.724,0,0,0,4,1,5,14,14
140,5.354,-4.379,0,0.689,0.724,0,0,0,4,1,6,15,14
132,6.328,-4.379,0,0.654,0.724,0,0,0,4,1,7,16,14
139,7.303,-4.379,0,0.619,0.724,0,0,0,4,1,8,17,14
131,8.277,-4.379,0,0.583,0.724,0,0,0,4,1,8,18,14
143,9.252,-4.379,0,0.548,0.724,0,0,0,4,1,9,19,14
200,-9.252,-5.354,0,0.548,0.689,0,0,0,6,2,10,0,15
204,-8.277,-5.354,0,0.583,0.689,0,0,0,6,2,9,1,15
218,-7.303,-5.354,0,0.619,0.689,0,0,0,6,2,8,2,15
222,-6.328,-5.354,0,0.654,0.689,0,0,0,6,2,7,3,15
225,-5.354,-5.354,0,0.689,0.689,0,0,0,7,2,7,4,15
236,-4.379,-5.354,0,0.724,0.689,0,0,0,7,2,6,5,15
243,-3.405,-5.354,0,0.759,0.689,0,0,0,7,2,5,6,15
254,-2.43,-5.354,0,0.794,0.689,0,0,0,7,2,5,7,15
257,-1.456,-5.354,0,0.829,0.689,0,0,0,8,2,5,8,15
261,-0.481,-5.354,0,0.864,0.689,0,0,0,8,2,4,9,15
275,0.481,-5.354,0,0.864,0.689,0,0,0,8,2,4,10,15
279,1.456,-5.354,0,0.829,0.689,0,0,0,8,2,5,11,15
138,2.43,-5.354,0,0.794,0.689,0,0,0,4,1,5,12,15
