   1368
    5.3640, Ce, Lb3   ,    0.0475
    5.3700, Ba, Lg5   ,    0.0014
    5.3830, La, Lb2   ,    0.0986
    5.4070, Pm, La2   ,    0.0524
    5.4110, Cr, Ka_   ,    0.8993
    5.4260, V , Kb1   ,    0.1091
    5.4320, Pm, La1   ,    0.5236
    5.4330, Ce, Lb6   ,    0.0047
    5.4620, V , Kb5   ,    0.0001
    5.4880, Pr, Lb1   ,    0.2119
    5.4970, Pr, Lb4   ,    0.0272
    5.5300, Ba, Lg1   ,    0.0305
    5.5410, Cs, Lg2   ,    0.0076
    5.5460, Tb, Ll    ,    0.0210
    5.5520, Cs, Lg3   ,    0.0124
    5.5880, Sm, Leta  ,    0.0050
    5.5910, Pr, Lb3   ,    0.0459
    5.6070, Sm, La2   ,    0.0476
    5.6120, Ce, Lb2   ,    0.1002
    5.6200, La, Lg5   ,    0.0014
    5.6220, Fe, K-LL  ,    0.0006
    5.6350, Sm, La1   ,    0.4755
    5.6590, Pr, Lb6   ,    0.0045
    5.7020, Cs, Lg4   ,    0.0025
    5.7210, Nd, Lb4   ,    0.0262
    5.7210, Nd, Lb1   ,    0.2101
    5.7420, Dy, Ll    ,    0.0234
    5.7880, La, Lg1   ,    0.0321
    5.7960, Ba, Lg2   ,    0.0089
    5.8080, Ba, Lg3   ,    0.0128
    5.8160, Eu, Leta  ,    0.0050
    5.8160, Eu, La2   ,    0.0490
    5.8280, Nd, Lb3   ,    0.0441
    5.8450, Eu, La1   ,    0.4904
    5.8490, Pr, Lb2   ,    0.1016
    5.8721, Cr, K-MM  ,    0.0039
    5.8740, Ce, Lg5   ,    0.0014
    5.8920, Nd, Lb6   ,    0.0042
    5.8943, Mn, Ka_   ,    0.8849
    5.9420, Ho, Ll    ,    0.0240
    5.9460, Cr, Kb1   ,    0.1006
    5.9600, Pm, Lb1   ,    0.2618
    5.9720, Ba, Lg4   ,    0.0029
    5.9860, Cr, Kb5   ,    0.0002
    6.0240, Gd, La2   ,    0.0474
    6.0490, Gd, Leta  ,    0.0047
    6.0510, Ce, Lg1   ,    0.0327
    6.0560, Gd, La1   ,    0.4743
    6.0590, La, Lg2   ,    0.0074
    6.0700, Pm, Lb3   ,    0.0314
    6.0730, La, Lg3   ,    0.0120
    6.0750, Co, K-LL  ,    0.0004
    6.0880, Nd, Lb2   ,    0.1030
    6.1350, Pr, Lg5   ,    0.0014
    6.1520, Er, Ll    ,    0.0243
    6.1950, Sm, Lb4   ,    0.0256
    6.2040, Sm, Lb1   ,    0.2171
    6.2370, Tb, La2   ,    0.0496
    6.2510, La, Lg4   ,    0.0027
    6.2720, Tb, La1   ,    0.4956
    6.2830, Tb, Leta  ,    0.0047
    6.3170, Sm, Lb3   ,    0.0395
    6.3210, Pr, Lg1   ,    0.0332
    6.3240, Ce, Lg2   ,    0.0073
    6.3380, Pm, Lb2   ,    0.1047
    6.3400, Ce, Lg3   ,    0.0117
    6.3410, Tm, Ll    ,    0.0224
    6.3690, Sm, Lb6   ,    0.0043
    6.3986, Fe, Ka_   ,    0.8833
    6.4050, Nd, Lg5   ,    0.0013
    6.4059, Mn, K-MM  ,    0.0038
    6.4380, Eu, Lb4   ,    0.0238
    6.4550, Eu, Lb1   ,    0.2084
    6.4570, Dy, La2   ,    0.0477
    6.4890, Mn, Kb1   ,    0.1149
    6.4940, Dy, La1   ,    0.4765
    6.5270, Ce, Lg4   ,    0.0027
    6.5330, Dy, Leta  ,    0.0044
    6.5340, Mn, Kb5   ,    0.0002
    6.5420, Ni, K-LL  ,    0.0003
    6.5440, Yb, Ll    ,    0.0259
    6.5700, Eu, Lb3   ,    0.0393
    6.5860, Sm, Lb2   ,    0.0989
    6.5970, Pr, Lg2   ,    0.0071
    6.6010, Nd, Lg1   ,    0.0336
    6.6150, Pr, Lg3   ,    0.0115
    6.6160, Eu, Lb6   ,    0.0047
    6.6790, Ho, La2   ,    0.0480
    6.6860, Gd, Lb4   ,    0.0244
    6.7110, Sm, Lb5   ,    0.0006
    6.7120, Gd, Lb1   ,    0.2216
    6.7190, Ho, La1   ,    0.4798
    6.7520, Lu, Ll    ,    0.0233
    6.7870, Ho, Leta  ,    0.0043
    6.8140, Pr, Lg4   ,    0.0026
    6.8300, Gd, Lb3   ,    0.0401
    6.8420, Eu, Lb2   ,    0.1027
    6.8660, Gd, Lb6   ,    0.0052
    6.8820, Nd, Lg2   ,    0.0070
    6.8910, Pm, Lg1   ,    0.0262
    6.9000, Nd, Lg3   ,    0.0112
    6.9040, Er, La2   ,    0.0483
    6.9240, Co, Ka_   ,    0.8842
    6.9390, Tb, Lb4   ,    0.0222
    6.9470, Er, La1   ,    0.4826
    6.9580, Hf, Ll    ,    0.0259
    6.9642, Fe, K-MM  ,    0.0032
    6.9670, Sm, Lg5   ,    0.0015
    6.9770, Tb, Lb1   ,    0.2065
    7.0300, Cu, K-LL  ,    0.0002
    7.0570, Fe, Kb1   ,    0.1165
    7.0570, Er, Leta  ,    0.0042
    7.0950, Tb, Lb3   ,    0.0362
    7.1020, Gd, Lb2   ,    0.0934
    7.1060, Nd, Lg4   ,    0.0025
    7.1070, Fe, Kb5   ,    0.0002
    7.1150, Tb, Lb6   ,    0.0051
    7.1320, Tm, La2   ,    0.0508
    7.1720, Ta, Ll    ,    0.0267
    7.1770, Sm, Lg1   ,    0.0367
    7.1790, Tm, La1   ,    0.5085
    7.2030, Dy, Lb4   ,    0.0234
    7.2360, Gd, Lb5   ,    0.0049
    7.2460, Dy, Lb1   ,    0.2228
    7.2550, Eu, Lg5   ,    0.0013
    7.3060, Sm, Lg6   ,    0.0003
    7.3080, Tm, Leta  ,    0.0043
    7.3650, Tb, Lb2   ,    0.1024
    7.3660, Yb, La2   ,    0.0489
    7.3690, Dy, Lb3   ,    0.0378
    7.3690, Dy, Lb6   ,    0.0056
    7.3860, W , Ll    ,    0.0258
    7.4140, Yb, La1   ,    0.4893
    7.4600, Ni, Ka2   ,    0.2973
    7.4650, Sm, Lg2   ,    0.0075
    7.4700, Ho, Lb4   ,    0.0225
    7.4770, Ni, Ka1   ,    0.5852
    7.4790, Eu, Lg1   ,    0.0349
    7.4850, Sm, Lg3   ,    0.0121
    7.5080, Tb, Lb5   ,    0.0006
    7.5240, Ho, Lb1   ,    0.2205
    7.5260, Zn, K-LL  ,    0.0001
    7.5474, Co, K-MM  ,    0.0027
    7.5530, Gd, Lg5   ,    0.0013
    7.5790, Yb, Leta  ,    0.0040
    7.6020, Re, Ll    ,    0.0265
    7.6040, Lu, La2   ,    0.0520
    7.6130, Eu, Lg6   ,    0.0002
    7.6310, W , Lt    ,    0.0020
    7.6340, Ho, Lb6   ,    0.0059
    7.6340, Dy, Lb2   ,    0.0967
    7.6480, Co, Kb1   ,    0.1156
    7.6500, Ho, Lb3   ,    0.0359
    7.6540, Lu, La1   ,    0.5200
    7.7050, Co, Kb5   ,    0.0002
    7.7120, Sm, Lg4   ,    0.0032
    7.7440, Er, Lb4   ,    0.0216
    7.7660, Eu, Lg2   ,    0.0070
    7.7840, Gd, Lg1   ,    0.0375
    7.7950, Eu, Lg3   ,    0.0105
    7.8040, Dy, Lb5   ,    0.0006
    7.8090, Er, Lb1   ,    0.2178
    7.8210, Os, Ll    ,    0.0259
    7.8430, Hf, La2   ,    0.0488
    7.8520, Tb, Lg5   ,    0.0013
    7.8560, Lu, Leta  ,    0.0042
    7.8980, Hf, La1   ,    0.4883
    7.9080, Er, Lb6   ,    0.0061
    7.9100, Ho, Lb2   ,    0.0972
    7.9240, Gd, Lg6   ,    0.0003
    7.9380, Er, Lb3   ,    0.0340
    8.0240, Tm, Lb4   ,    0.0197
    8.0260, Cu, Ka2   ,    0.2971
    8.0290, Eu, Lg4   ,    0.0023
    8.0400, Ir, Ll    ,    0.0300
    8.0460, Cu, Ka1   ,    0.5837
    8.0610, Ho, Lb5   ,    0.0007
    8.0860, Gd, Lg2   ,    0.0078
    8.0860, Ta, La2   ,    0.0492
    8.1000, Tb, Lg1   ,    0.0355
    8.1000, Tm, Lb1   ,    0.2021
    8.1040, Gd, Lg3   ,    0.0111
    8.1380, Hf, Leta  ,    0.0069
